task_id,suite,model,variant,rep,correct,failure_stage,is_silent,tokens,final_answer,causal_attributed,source_file,source_dir
tabular_eda_10,synthetic,deepseek-chat,verifier,1,True,none,False,1813,clothing 697.0,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_10,synthetic,deepseek-chat,verifier,2,True,none,False,1657,clothing 697.0,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_11,synthetic,deepseek-chat,verifier,0,True,none,False,840,books 5,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_11,synthetic,deepseek-chat,verifier,1,True,none,False,1443,books 5,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_11,synthetic,deepseek-chat,verifier,2,True,none,False,1314,books 5,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_12,synthetic,deepseek-chat,verifier,0,True,none,False,1222,books 967,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_12,synthetic,deepseek-chat,verifier,1,True,none,False,1077,books 967,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_12,synthetic,deepseek-chat,verifier,2,True,none,False,1468,books 967,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_13,synthetic,deepseek-chat,verifier,0,True,none,False,1242,2785,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_13,synthetic,deepseek-chat,verifier,1,True,none,False,1790,2785,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_13,synthetic,deepseek-chat,verifier,2,True,none,False,675,2785,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_14,synthetic,deepseek-chat,verifier,0,True,none,False,1459,toys 498.0,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_14,synthetic,deepseek-chat,verifier,1,True,none,False,1778,toys 498.0,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_14,synthetic,deepseek-chat,verifier,2,True,none,False,1565,toys 498.0,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_15,synthetic,deepseek-chat,verifier,0,True,none,False,1344,toys 4,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_15,synthetic,deepseek-chat,verifier,1,True,none,False,1643,toys 4,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_15,synthetic,deepseek-chat,verifier,2,False,silent,True,1588,books 4,False,deepseek-chat+verifier_detail.json,results_full
time_series_00,synthetic,deepseek-chat,verifier,0,True,none,False,3284,2024-01-12,True,deepseek-chat+verifier_detail.json,results_full
time_series_00,synthetic,deepseek-chat,verifier,1,True,none,False,4926,2024-01-12,True,deepseek-chat+verifier_detail.json,results_full
time_series_00,synthetic,deepseek-chat,verifier,2,True,none,False,1858,2024-01-12,True,deepseek-chat+verifier_detail.json,results_full
time_series_01,synthetic,deepseek-chat,verifier,0,True,none,False,1390,97.02,True,deepseek-chat+verifier_detail.json,results_full
time_series_01,synthetic,deepseek-chat,verifier,1,True,none,False,1399,97.02,True,deepseek-chat+verifier_detail.json,results_full
time_series_01,synthetic,deepseek-chat,verifier,2,True,none,False,1380,97.02,True,deepseek-chat+verifier_detail.json,results_full
time_series_02,synthetic,deepseek-chat,verifier,0,True,none,False,7627,0.7714215686274511,True,deepseek-chat+verifier_detail.json,results_full
time_series_02,synthetic,deepseek-chat,verifier,1,False,silent,True,4749,1.2156249999999997,False,deepseek-chat+verifier_detail.json,results_full
time_series_02,synthetic,deepseek-chat,verifier,2,True,none,False,3002,0.7714215686274511,True,deepseek-chat+verifier_detail.json,results_full
time_series_03,synthetic,deepseek-chat,verifier,0,True,none,False,1473,2024-01-07,True,deepseek-chat+verifier_detail.json,results_full
time_series_03,synthetic,deepseek-chat,verifier,1,True,none,False,1373,2024-01-07,True,deepseek-chat+verifier_detail.json,results_full
time_series_03,synthetic,deepseek-chat,verifier,2,True,none,False,1433,2024-01-07,True,deepseek-chat+verifier_detail.json,results_full
time_series_04,synthetic,deepseek-chat,verifier,0,True,none,False,3659,2024-01-10,True,deepseek-chat+verifier_detail.json,results_full
time_series_04,synthetic,deepseek-chat,verifier,1,True,none,False,1997,2024-01-10,True,deepseek-chat+verifier_detail.json,results_full
time_series_04,synthetic,deepseek-chat,verifier,2,True,none,False,1779,2024-01-10,True,deepseek-chat+verifier_detail.json,results_full
time_series_05,synthetic,deepseek-chat,verifier,0,True,none,False,1425,126.02,True,deepseek-chat+verifier_detail.json,results_full
time_series_05,synthetic,deepseek-chat,verifier,1,True,none,False,1397,126.02,True,deepseek-chat+verifier_detail.json,results_full
time_series_05,synthetic,deepseek-chat,verifier,2,True,none,False,1368,126.02,True,deepseek-chat+verifier_detail.json,results_full
time_series_06,synthetic,deepseek-chat,verifier,0,True,none,False,2090,1.5395882352641743,True,deepseek-chat+verifier_detail.json,results_full
time_series_06,synthetic,deepseek-chat,verifier,1,True,none,False,3160,1.539588235294119,True,deepseek-chat+verifier_detail.json,results_full
time_series_06,synthetic,deepseek-chat,verifier,2,True,none,False,2932,1.5395882352941177,True,deepseek-chat+verifier_detail.json,results_full
time_series_07,synthetic,deepseek-chat,verifier,0,True,none,False,1388,2024-01-08,True,deepseek-chat+verifier_detail.json,results_full
time_series_07,synthetic,deepseek-chat,verifier,1,True,none,False,1416,2024-01-08,True,deepseek-chat+verifier_detail.json,results_full
time_series_07,synthetic,deepseek-chat,verifier,2,True,none,False,1393,2024-01-08,True,deepseek-chat+verifier_detail.json,results_full
time_series_08,synthetic,deepseek-chat,verifier,0,True,none,False,2017,2024-01-09,True,deepseek-chat+verifier_detail.json,results_full
time_series_08,synthetic,deepseek-chat,verifier,1,True,none,False,1822,2024-01-09,True,deepseek-chat+verifier_detail.json,results_full
time_series_08,synthetic,deepseek-chat,verifier,2,True,none,False,1786,2024-01-09,True,deepseek-chat+verifier_detail.json,results_full
time_series_09,synthetic,deepseek-chat,verifier,0,True,none,False,1402,83.72,True,deepseek-chat+verifier_detail.json,results_full
time_series_09,synthetic,deepseek-chat,verifier,1,True,none,False,1402,83.72,True,deepseek-chat+verifier_detail.json,results_full
time_series_09,synthetic,deepseek-chat,verifier,2,True,none,False,1373,83.72,True,deepseek-chat+verifier_detail.json,results_full
time_series_10,synthetic,deepseek-chat,verifier,0,True,none,False,7187,-0.9236043955685862,True,deepseek-chat+verifier_detail.json,results_full
time_series_10,synthetic,deepseek-chat,verifier,1,False,runtime,False,3130,-1.0689865689865689e-05,False,deepseek-chat+verifier_detail.json,results_full
time_series_10,synthetic,deepseek-chat,verifier,2,False,silent,True,5003,0.3607692307692314,False,deepseek-chat+verifier_detail.json,results_full
time_series_11,synthetic,deepseek-chat,verifier,0,True,none,False,1365,2024-01-11,True,deepseek-chat+verifier_detail.json,results_full
time_series_11,synthetic,deepseek-chat,verifier,1,True,none,False,1400,2024-01-11,True,deepseek-chat+verifier_detail.json,results_full
time_series_11,synthetic,deepseek-chat,verifier,2,True,none,False,1426,2024-01-11,True,deepseek-chat+verifier_detail.json,results_full
time_series_12,synthetic,deepseek-chat,verifier,0,True,none,False,3596,2024-01-04,True,deepseek-chat+verifier_detail.json,results_full
time_series_12,synthetic,deepseek-chat,verifier,1,True,none,False,5465,2024-01-04,True,deepseek-chat+verifier_detail.json,results_full
time_series_12,synthetic,deepseek-chat,verifier,2,True,none,False,3312,2024-01-04,True,deepseek-chat+verifier_detail.json,results_full
time_series_13,synthetic,deepseek-chat,verifier,0,True,none,False,2719,131.72,True,deepseek-chat+verifier_detail.json,results_full
time_series_13,synthetic,deepseek-chat,verifier,1,True,none,False,1400,131.72,True,deepseek-chat+verifier_detail.json,results_full
time_series_13,synthetic,deepseek-chat,verifier,2,True,none,False,1475,131.72,True,deepseek-chat+verifier_detail.json,results_full
time_series_14,synthetic,deepseek-chat,verifier,0,True,none,False,2865,-0.6619230769230815,True,deepseek-chat+verifier_detail.json,results_full
time_series_14,synthetic,deepseek-chat,verifier,1,False,silent,True,2841,1.0936363636363635,False,deepseek-chat+verifier_detail.json,results_full
time_series_14,synthetic,deepseek-chat,verifier,2,True,none,False,2826,-0.6619230769230772,True,deepseek-chat+verifier_detail.json,results_full
time_series_15,synthetic,deepseek-chat,verifier,0,True,none,False,1152,2024-01-09,True,deepseek-chat+verifier_detail.json,results_full
time_series_15,synthetic,deepseek-chat,verifier,1,True,none,False,1240,2024-01-09,True,deepseek-chat+verifier_detail.json,results_full
time_series_15,synthetic,deepseek-chat,verifier,2,True,none,False,1464,2024-01-09,True,deepseek-chat+verifier_detail.json,results_full
recommendation_00,synthetic,deepseek-chat,verifier,0,True,none,False,959,22,True,deepseek-chat+verifier_detail.json,results_full
recommendation_00,synthetic,deepseek-chat,verifier,1,True,none,False,1352,22,True,deepseek-chat+verifier_detail.json,results_full
recommendation_00,synthetic,deepseek-chat,verifier,2,True,none,False,2001,22,True,deepseek-chat+verifier_detail.json,results_full
recommendation_01,synthetic,deepseek-chat,verifier,0,True,none,False,1364,0 3,True,deepseek-chat+verifier_detail.json,results_full
recommendation_01,synthetic,deepseek-chat,verifier,1,True,none,False,1378,0 3,True,deepseek-chat+verifier_detail.json,results_full
recommendation_01,synthetic,deepseek-chat,verifier,2,True,none,False,1517,0 3,True,deepseek-chat+verifier_detail.json,results_full
recommendation_02,synthetic,deepseek-chat,verifier,0,True,none,False,7242,0.4642857142857143,True,deepseek-chat+verifier_detail.json,results_full
recommendation_02,synthetic,deepseek-chat,verifier,1,True,none,False,1397,0.4642857142857143,True,deepseek-chat+verifier_detail.json,results_full
recommendation_02,synthetic,deepseek-chat,verifier,2,True,none,False,3626,0.4642857142857143,True,deepseek-chat+verifier_detail.json,results_full
recommendation_03,synthetic,deepseek-chat,verifier,0,True,none,False,1494,0 5,True,deepseek-chat+verifier_detail.json,results_full
recommendation_03,synthetic,deepseek-chat,verifier,1,False,silent,True,1997,"', item_id, total_clicks)",False,deepseek-chat+verifier_detail.json,results_full
recommendation_03,synthetic,deepseek-chat,verifier,2,True,none,False,1402,0 5,True,deepseek-chat+verifier_detail.json,results_full
recommendation_04,synthetic,deepseek-chat,verifier,0,True,none,False,804,18,True,deepseek-chat+verifier_detail.json,results_full
recommendation_04,synthetic,deepseek-chat,verifier,1,True,none,False,1314,18,True,deepseek-chat+verifier_detail.json,results_full
recommendation_04,synthetic,deepseek-chat,verifier,2,True,none,False,2313,18,True,deepseek-chat+verifier_detail.json,results_full
recommendation_05,synthetic,deepseek-chat,verifier,0,True,none,False,1553,0 3,True,deepseek-chat+verifier_detail.json,results_full
recommendation_05,synthetic,deepseek-chat,verifier,1,True,none,False,1391,0 3,True,deepseek-chat+verifier_detail.json,results_full
recommendation_05,synthetic,deepseek-chat,verifier,2,True,none,False,1385,0 3,True,deepseek-chat+verifier_detail.json,results_full
recommendation_06,synthetic,deepseek-chat,verifier,0,True,none,False,1334,0.4375,True,deepseek-chat+verifier_detail.json,results_full
recommendation_06,synthetic,deepseek-chat,verifier,1,True,none,False,1408,0.4375,True,deepseek-chat+verifier_detail.json,results_full
recommendation_06,synthetic,deepseek-chat,verifier,2,True,none,False,4036,0.4375,True,deepseek-chat+verifier_detail.json,results_full
recommendation_07,synthetic,deepseek-chat,verifier,0,True,none,False,1530,0 3,True,deepseek-chat+verifier_detail.json,results_full
recommendation_07,synthetic,deepseek-chat,verifier,1,True,none,False,1746,0 3,True,deepseek-chat+verifier_detail.json,results_full
recommendation_07,synthetic,deepseek-chat,verifier,2,True,none,False,1436,0 3,True,deepseek-chat+verifier_detail.json,results_full
recommendation_08,synthetic,deepseek-chat,verifier,0,True,none,False,1823,14,True,deepseek-chat+verifier_detail.json,results_full
recommendation_08,synthetic,deepseek-chat,verifier,1,True,none,False,968,14,True,deepseek-chat+verifier_detail.json,results_full
recommendation_08,synthetic,deepseek-chat,verifier,2,True,none,False,2074,14,True,deepseek-chat+verifier_detail.json,results_full
recommendation_09,synthetic,deepseek-chat,verifier,0,True,none,False,1480,1 4,True,deepseek-chat+verifier_detail.json,results_full
recommendation_09,synthetic,deepseek-chat,verifier,1,True,none,False,1580,1 4,True,deepseek-chat+verifier_detail.json,results_full
recommendation_09,synthetic,deepseek-chat,verifier,2,True,none,False,1555,1 4,True,deepseek-chat+verifier_detail.json,results_full
recommendation_10,synthetic,deepseek-chat,verifier,0,True,none,False,1413,0.35,True,deepseek-chat+verifier_detail.json,results_full
recommendation_10,synthetic,deepseek-chat,verifier,1,True,none,False,1416,0.35,True,deepseek-chat+verifier_detail.json,results_full
recommendation_10,synthetic,deepseek-chat,verifier,2,True,none,False,1343,0.35,True,deepseek-chat+verifier_detail.json,results_full
recommendation_11,synthetic,deepseek-chat,verifier,0,True,none,False,1586,1 5,True,deepseek-chat+verifier_detail.json,results_full
recommendation_11,synthetic,deepseek-chat,verifier,1,True,none,False,1507,1 5,True,deepseek-chat+verifier_detail.json,results_full
recommendation_11,synthetic,deepseek-chat,verifier,2,True,none,False,1393,1 5,True,deepseek-chat+verifier_detail.json,results_full
recommendation_12,synthetic,deepseek-chat,verifier,0,True,none,False,1222,39,True,deepseek-chat+verifier_detail.json,results_full
recommendation_12,synthetic,deepseek-chat,verifier,1,True,none,False,1319,39,True,deepseek-chat+verifier_detail.json,results_full
recommendation_12,synthetic,deepseek-chat,verifier,2,True,none,False,1359,39,True,deepseek-chat+verifier_detail.json,results_full
recommendation_13,synthetic,deepseek-chat,verifier,0,True,none,False,1602,0 3,True,deepseek-chat+verifier_detail.json,results_full
recommendation_13,synthetic,deepseek-chat,verifier,1,True,none,False,3218,0 3,True,deepseek-chat+verifier_detail.json,results_full
recommendation_13,synthetic,deepseek-chat,verifier,2,True,none,False,1880,0 3,True,deepseek-chat+verifier_detail.json,results_full
recommendation_14,synthetic,deepseek-chat,verifier,0,True,none,False,1406,0.5416666666666666,True,deepseek-chat+verifier_detail.json,results_full
recommendation_14,synthetic,deepseek-chat,verifier,1,True,none,False,1354,0.5416666666666666,True,deepseek-chat+verifier_detail.json,results_full
recommendation_14,synthetic,deepseek-chat,verifier,2,True,none,False,1898,0.5416666666666666,True,deepseek-chat+verifier_detail.json,results_full
recommendation_15,synthetic,deepseek-chat,verifier,0,True,none,False,1624,2 5,True,deepseek-chat+verifier_detail.json,results_full
recommendation_15,synthetic,deepseek-chat,verifier,1,True,none,False,1397,2 5,True,deepseek-chat+verifier_detail.json,results_full
recommendation_15,synthetic,deepseek-chat,verifier,2,True,none,False,1401,2 5,True,deepseek-chat+verifier_detail.json,results_full
statistical_00,synthetic,deepseek-chat,verifier,0,True,none,False,767,0.9859920319890257,True,deepseek-chat+verifier_detail.json,results_full
statistical_00,synthetic,deepseek-chat,verifier,1,True,none,False,674,0.9859920319890257,True,deepseek-chat+verifier_detail.json,results_full
statistical_00,synthetic,deepseek-chat,verifier,2,True,none,False,717,0.9859920319890257,True,deepseek-chat+verifier_detail.json,results_full
statistical_01,synthetic,deepseek-chat,verifier,0,False,silent,True,920,"', mean_val, std_val)",False,deepseek-chat+verifier_detail.json,results_full
statistical_01,synthetic,deepseek-chat,verifier,1,False,silent,True,815,41.37 nan,False,deepseek-chat+verifier_detail.json,results_full
statistical_01,synthetic,deepseek-chat,verifier,2,False,silent,True,970,"', mean_val, std_val)",False,deepseek-chat+verifier_detail.json,results_full
statistical_02,synthetic,deepseek-chat,verifier,0,True,none,False,1618,B 7,True,deepseek-chat+verifier_detail.json,results_full
statistical_02,synthetic,deepseek-chat,verifier,1,True,none,False,1547,B 7,True,deepseek-chat+verifier_detail.json,results_full
statistical_02,synthetic,deepseek-chat,verifier,2,True,none,False,2407,B 7,True,deepseek-chat+verifier_detail.json,results_full
statistical_03,synthetic,deepseek-chat,verifier,0,False,silent,True,789,94.11 0.0,False,deepseek-chat+verifier_detail.json,results_full
statistical_03,synthetic,deepseek-chat,verifier,1,False,silent,True,1011,94.11 0.0,False,deepseek-chat+verifier_detail.json,results_full
statistical_03,synthetic,deepseek-chat,verifier,2,False,silent,True,916,94.11 0.0,False,deepseek-chat+verifier_detail.json,results_full
statistical_04,synthetic,deepseek-chat,verifier,0,True,none,False,691,0.9712972100126799,True,deepseek-chat+verifier_detail.json,results_full
statistical_04,synthetic,deepseek-chat,verifier,1,True,none,False,744,0.9712972100126799,True,deepseek-chat+verifier_detail.json,results_full
statistical_04,synthetic,deepseek-chat,verifier,2,True,none,False,714,0.9712972100126799,True,deepseek-chat+verifier_detail.json,results_full
statistical_05,synthetic,deepseek-chat,verifier,0,False,silent,True,906,"', mean_val, std_val)",False,deepseek-chat+verifier_detail.json,results_full
statistical_05,synthetic,deepseek-chat,verifier,1,False,silent,True,927,"', mean_value, std_value)",False,deepseek-chat+verifier_detail.json,results_full
statistical_05,synthetic,deepseek-chat,verifier,2,False,silent,True,867,54.96 nan,False,deepseek-chat+verifier_detail.json,results_full
statistical_06,synthetic,deepseek-chat,verifier,0,True,none,False,1817,C 4,True,deepseek-chat+verifier_detail.json,results_full
statistical_06,synthetic,deepseek-chat,verifier,1,True,none,False,1718,C 4,True,deepseek-chat+verifier_detail.json,results_full
statistical_06,synthetic,deepseek-chat,verifier,2,True,none,False,1501,C 4,True,deepseek-chat+verifier_detail.json,results_full
statistical_07,synthetic,deepseek-chat,verifier,0,False,silent,True,803,92.91 0.0,False,deepseek-chat+verifier_detail.json,results_full
statistical_07,synthetic,deepseek-chat,verifier,1,False,silent,True,879,92.91 0.0,False,deepseek-chat+verifier_detail.json,results_full
statistical_07,synthetic,deepseek-chat,verifier,2,False,silent,True,793,92.91 0.0,False,deepseek-chat+verifier_detail.json,results_full
statistical_08,synthetic,deepseek-chat,verifier,0,True,none,False,672,0.9963567847614448,True,deepseek-chat+verifier_detail.json,results_full
statistical_08,synthetic,deepseek-chat,verifier,1,True,none,False,769,0.9963567847614448,True,deepseek-chat+verifier_detail.json,results_full
statistical_08,synthetic,deepseek-chat,verifier,2,True,none,False,657,0.9963567847614448,True,deepseek-chat+verifier_detail.json,results_full
statistical_09,synthetic,deepseek-chat,verifier,0,False,silent,True,954,"', mean_val, std_val_sample)",False,deepseek-chat+verifier_detail.json,results_full
statistical_09,synthetic,deepseek-chat,verifier,1,False,silent,True,993,"', mean_val, std_val)",False,deepseek-chat+verifier_detail.json,results_full
statistical_09,synthetic,deepseek-chat,verifier,2,False,silent,True,683,51.78 nan,False,deepseek-chat+verifier_detail.json,results_full
statistical_10,synthetic,deepseek-chat,verifier,0,True,none,False,1499,C 4,True,deepseek-chat+verifier_detail.json,results_full
statistical_10,synthetic,deepseek-chat,verifier,1,True,none,False,1486,C 4,True,deepseek-chat+verifier_detail.json,results_full
statistical_10,synthetic,deepseek-chat,verifier,2,False,silent,True,1413,C 19,False,deepseek-chat+verifier_detail.json,results_full
statistical_11,synthetic,deepseek-chat,verifier,0,False,silent,True,1837,96.41 0.0,False,deepseek-chat+verifier_detail.json,results_full
statistical_11,synthetic,deepseek-chat,verifier,1,False,silent,True,1005,96.41 0.0,False,deepseek-chat+verifier_detail.json,results_full
statistical_11,synthetic,deepseek-chat,verifier,2,False,silent,True,1695,96.41 0.0,False,deepseek-chat+verifier_detail.json,results_full
statistical_12,synthetic,deepseek-chat,verifier,0,True,none,False,746,0.9769682899325098,True,deepseek-chat+verifier_detail.json,results_full
statistical_12,synthetic,deepseek-chat,verifier,1,True,none,False,642,0.9769682899325098,True,deepseek-chat+verifier_detail.json,results_full
statistical_12,synthetic,deepseek-chat,verifier,2,True,none,False,677,0.9769682899325098,True,deepseek-chat+verifier_detail.json,results_full
statistical_13,synthetic,deepseek-chat,verifier,0,False,silent,True,670,49.23 nan,False,deepseek-chat+verifier_detail.json,results_full
statistical_13,synthetic,deepseek-chat,verifier,1,False,silent,True,745,49.23 nan,False,deepseek-chat+verifier_detail.json,results_full
statistical_13,synthetic,deepseek-chat,verifier,2,False,silent,True,954,"', mean_val, std_val)",False,deepseek-chat+verifier_detail.json,results_full
statistical_14,synthetic,deepseek-chat,verifier,0,True,none,False,1744,B 9,True,deepseek-chat+verifier_detail.json,results_full
statistical_14,synthetic,deepseek-chat,verifier,1,False,silent,True,1730,B 51,False,deepseek-chat+verifier_detail.json,results_full
statistical_14,synthetic,deepseek-chat,verifier,2,True,none,False,1355,B 9,True,deepseek-chat+verifier_detail.json,results_full
statistical_15,synthetic,deepseek-chat,verifier,0,False,silent,True,788,91.89 0.0,False,deepseek-chat+verifier_detail.json,results_full
statistical_15,synthetic,deepseek-chat,verifier,1,False,silent,True,1745,91.89 0.0,False,deepseek-chat+verifier_detail.json,results_full
statistical_15,synthetic,deepseek-chat,verifier,2,False,silent,True,820,91.89 0.0,False,deepseek-chat+verifier_detail.json,results_full
text_log_00,synthetic,deepseek-chat,verifier,0,True,none,False,1329,6,True,deepseek-chat+verifier_detail.json,results_full
text_log_00,synthetic,deepseek-chat,verifier,1,True,none,False,1380,6,True,deepseek-chat+verifier_detail.json,results_full
text_log_00,synthetic,deepseek-chat,verifier,2,True,none,False,1783,6,True,deepseek-chat+verifier_detail.json,results_full
text_log_01,synthetic,deepseek-chat,verifier,0,True,none,False,2174,DEBUG 5,True,deepseek-chat+verifier_detail.json,results_full
text_log_01,synthetic,deepseek-chat,verifier,1,True,none,False,1415,DEBUG 5,True,deepseek-chat+verifier_detail.json,results_full
text_log_01,synthetic,deepseek-chat,verifier,2,True,none,False,1568,DEBUG 5,True,deepseek-chat+verifier_detail.json,results_full
text_log_02,synthetic,deepseek-chat,verifier,0,True,none,False,1763,user_4 9,True,deepseek-chat+verifier_detail.json,results_full
text_log_02,synthetic,deepseek-chat,verifier,1,True,none,False,1773,user_4 9,True,deepseek-chat+verifier_detail.json,results_full
text_log_02,synthetic,deepseek-chat,verifier,2,True,none,False,1641,user_4 9,True,deepseek-chat+verifier_detail.json,results_full
text_log_03,synthetic,deepseek-chat,verifier,0,True,none,False,1729,00 1,True,deepseek-chat+verifier_detail.json,results_full
text_log_03,synthetic,deepseek-chat,verifier,1,True,none,False,1638,00 1,True,deepseek-chat+verifier_detail.json,results_full
text_log_03,synthetic,deepseek-chat,verifier,2,True,none,False,1656,00 1,True,deepseek-chat+verifier_detail.json,results_full
text_log_04,synthetic,deepseek-chat,verifier,0,True,none,False,2815,5,True,deepseek-chat+verifier_detail.json,results_full
text_log_04,synthetic,deepseek-chat,verifier,1,True,none,False,1374,5,True,deepseek-chat+verifier_detail.json,results_full
text_log_04,synthetic,deepseek-chat,verifier,2,True,none,False,1521,5,True,deepseek-chat+verifier_detail.json,results_full
text_log_05,synthetic,deepseek-chat,verifier,0,True,none,False,1676,DEBUG 10,True,deepseek-chat+verifier_detail.json,results_full
text_log_05,synthetic,deepseek-chat,verifier,1,True,none,False,1584,DEBUG 10,True,deepseek-chat+verifier_detail.json,results_full
text_log_05,synthetic,deepseek-chat,verifier,2,True,none,False,1557,DEBUG 10,True,deepseek-chat+verifier_detail.json,results_full
text_log_06,synthetic,deepseek-chat,verifier,0,True,none,False,1766,user_3 8,True,deepseek-chat+verifier_detail.json,results_full
text_log_06,synthetic,deepseek-chat,verifier,1,True,none,False,1802,user_3 8,True,deepseek-chat+verifier_detail.json,results_full
text_log_06,synthetic,deepseek-chat,verifier,2,True,none,False,1727,user_3 8,True,deepseek-chat+verifier_detail.json,results_full
text_log_07,synthetic,deepseek-chat,verifier,0,True,none,False,1764,00 1,True,deepseek-chat+verifier_detail.json,results_full
text_log_07,synthetic,deepseek-chat,verifier,1,False,silent,True,1660,0 1,False,deepseek-chat+verifier_detail.json,results_full
text_log_07,synthetic,deepseek-chat,verifier,2,False,silent,True,1655,0 1,False,deepseek-chat+verifier_detail.json,results_full
text_log_08,synthetic,deepseek-chat,verifier,0,True,none,False,1781,6,True,deepseek-chat+verifier_detail.json,results_full
text_log_08,synthetic,deepseek-chat,verifier,1,True,none,False,1352,6,True,deepseek-chat+verifier_detail.json,results_full
